ID,Judul,Penulis,Abstrak,Info_24
12600,SKRIPSI PENGARUH VARIASI UKURAN PARTIKEL BRIKET TERHADAP KARAKTERISTIK TERMAL ARANG BRIKET LIMBAH DAUN KETAPANG,FERRY PRIHBIYANTO,"INTISARI Kebutuhan energi di Indonesia semakin meningkat seiring dengan tingkat kehidupan masyarakat. Hal tersebut menjadikan energi terbarukan seperti energi alternatif diperlukan, terutama biomassa. Biomassa yang dapat dipakai menjadi energi alternatif yaitu limbah daun ketapang. Limbah daun ketapang dimanfaatkan sebagai energi alternatif dalam bentuk briket arang. Penelitian ini bertujuan untuk menganalisa karakteristik nilai kalor, kadar air dan kadar abu briket serta efisiensi termal pada briket limbah daun ketapang. Tahapan pembuatan briket limbah daun ketapang meliputi persiapan alat dan bahan, pengarangan, penumbukan, pengayakan, pencampuran bahan baku dan perekat, pencetakan dan pengeringan. Penelitian ini menggunakan variasi ukuran partikel 40 mesh, 60 mesh, 80 mesh, dan 100 mesh. Hasil pengujian menunjukkan nilai kalor tertinggi ada pada variasi ukuran partikel 100 mesh sebesar 4801,903 kal/g dan terendah ada pada variasi ukuran partikel 40 mesh sebesar 4529,173 kal/g. Nilai kadar air tertinggi ada pada variasi ukuran partikel 40 mesh sebesar 7,9736% dan nilai terendah pada variasi ukuran partikel 100 mesh sebesar 5,1722%. Nilai kadar abu tertinggi ada pada variasi ukuran partikel 40 mesh sebesar 11,7350% dan nilai terendah pada variasi ukuran partikel 100 mesh sebesar 10,4094%. Hasil perhitungan nilai efisiensi termal tertinggi ada pada variasi ukuran partikel 100 mesh sebesar 27,58% dan terendah ada pada variasi ukuran partikel 40 mesh sebesar 23,91%. Kata kunci: bahan bakar alternatif, briket, limbah daun ketapang, efisiensi termal",PRODI_S1_TEKNIK_MESINFAKULTAS_FT
12601,SKRIPSI PERANCANGAN FORK SEPEDA LIPAT,MUHAMMAD NAIZAR MAGHFURI,"ABSTRAK Sepeda lipat merupakan salah satu jenis sepeda yang sangat digemari masyarakat Indonesia. Salah satu komponen yang paling berpengaruh dalam keamanan dan kenyamanan pada penggunaan sepeda ialah pada bagian Fork, oleh karena itu perancangan fork sangat perlu diperhatikan untuk dapat memastikan keamanan dan penggunaan sepeda. Pada penelitian ini, analisis difokuskan pada perbandingan kekuatan fork yang ada di pasaran yaitu fork tipe A, dengan desain fork yang dirancang dalam penelitian ini yaitu fork tipe B dan fork tipe C menggunakan perangkat lunak Computer Aided Design (CAD). Hasil analisis kekuatan menunjukkan tegangan von mises maksimum dari fork tipe A, tipe B dan tipe C masing-masing: 373.3 MPa, 52.1 MPa, dan 50.4 MPa pada variasi pembebanan 1. Hasil analisis deformasi maksimum yang terjadi pada desain fork tipe A sebesar 2.8 mm, fork tipe B sebesar 2.2 mm, dan fork tipe C sebesar 2 mm pada variasi pembebanan 1. sedangkan untuk hasil analisis angka safety factor minimum fork tipe A sebesar 2 ul, fork tipe B sebesar 5.3 ul, dan fork tipe C sebesar 5.5 ul pada variasi pembebanan 1. Berdasarkan hasil analisis kekuatan tersebut, dapat disimpulkan fork tipe C memiliki kekuatan paling baik dari ketiga desain fork tersebut. Kata kunci : metode elemen hingga, Fork, von mises stress, displacement, safety factor.",PRODI_S1_TEKNIK_MESINFAKULTAS_FT
12602,SKRIPSI OPTIMASI DISTRIBUSI TEMPERATUR MESIN PENGERING DAN PENYORTIR KOPI DENGAN METODE AUTOMATIC HUMIDITY TEMPERATURE CONTROL,MUHAMAD CHOIRUL ANAM,"ABSTRAK Proses pengeringan biji kopi membutuhkan waktu ±2 minggu supaya biji kopi dapat diolah menjadi kopi bubuk. Tujuannya untuk mengurangi kandungan air dalam kopi mencapai 12% supaya kopi bisa tahan lama dan pada saat penggorengan bisa cepat. Penelitian ini tentang analisis pengeringan pada mesin pengering dan penyortir kopi arabika dengan metode automatic humidity temperature control. Fokus penelitian ini pada optimasi temperatur pengeringan, laju pengeringan dan kadar air akhir kopi arabika. Automatic humidity temperature control merupakan sebuah metode yang memanfaatkan microcontroller Arduino Uno untuk mengontrol kelembaban dan suhu secara otomatis. Pendeteksian suhu menggunakan sensor DS18B20 dan kelembaban menggunakan sensor DHT11, sedangkan penurunan suhu menggunakan blower. Pengujian kopi jenis arabika dilakukan pada mesin pengering dan penyortir kopi dengan variasi pengujian tanpa penambahan pengaduk dan dengan penambahan pengaduk. Data yang diambil yaitu kenaikan temperatur setiap waktu dalam ruang drum silinder pengering yang termonitoring pada data logger setiap 30 detik sekali selama waktu 30 menit. Hasil penelitian menunjukkan bahwa variasi penambahan pengaduk pada mesin pengering dan penyortir kopi arabika merupakan variasi terbaik dengan distribusi temperatur yang optimal dilihat dari hasil garis-garis setiap sensor yang sangat berdekatan atau sejajar dengan hasil laju pengeringan rata-rata sebesar 52,7%/jam dan kadar air akhir kopi arabika rata-rata sebesar 12,13%. Sedangkan variasi tanpa penambahan pengaduk pada mesin pengering dan penyortir kopi arabika hasil setiap sensor cenderung berjauhan atau tidak sejajar, laju pengeringan hanya rata-rata sebesar 48,2%/jam dan kadar air akhir kopi arabika hanya rata-rata sebesar 14,4%. Kata kunci : Distribusi temperatur, laju pengeringan, kadar air, kopi, Arduino Uno",PRODI_S1_TEKNIK_MESINFAKULTAS_FT
12603,SKRIPSI ANALISIS PENURUNAN KADAR AIR BIJI KOPI PADA MESIN ROTARY DRYER BERBASIS MIKROKONTROLER ARDUINO UNO,AHMAD ARDIANSYAH,"ABSTRAK Permasalahan yang dialami oleh petani kopi adalah harga kopi kering jauh lebih mahal daripada kopi basah. Hal ini dikarenakan terbatasnya tempat untuk melakukan pengeringan dan pengelolaan, sehingga petani tidak bisa mengolah biji kopi melainkan menjual biji kopi dalam bentuk basah. Daerah yang terletak di lereng dan sekitar kawasan hutan, tidak memungkinkan melakukan pengeringan matahari yang membutuhkan tempat sangat luas dan waktu pengeringan yang lama. Ditambah di Indonesia sendiri terbagi menjadi 2 musim, musim panas dan musin penghujan. Maka disaat musim hujan proses pengeringan akan sangat terhambat dan berdampak buruk terhadap kualitas kopi. Penulis melakukan penelitian dengan memodifikasi mesin rotary dryer yang telah dirancang oleh Feri Irawan, 2020. Variasi yang digunakan yaitu kecepatan putaran drum dan waktu pengeringan. Kemudian kadar air akhir biji kopi pada setiap variasi. Metode penelitian yang digunakan yaitu eksperimental, dengan melakukan percobaan sebanyak tiga kali pada setiap variasi. Hasil penelitian menunjukkan bahwa pengaruh kecepatan putaran drum pada mesin rotary dryer berbanding terbalik dengan penurunan kadar air biji kopi. Semakin tinggi kecepatan putaran drum pada mesin rotary dryer maka semakin rendah penurunan kadar air biji kopi, begitupun sebaliknya semakin rendah kecepatan putaran drum pada mesin rotary dryer maka semakin tinggi penurunan kadar air biji kopi. Pengeringan terbaik adalah dengan variasi kecepatan 10 rpm dan waktu pengeringan 40 menit dengan rata-rata kadar air biji kopi akhir sebesar 12,6%. Sedangkan pengeringan terburuk adalah dengan variasi kecepatan 20 rpm dan waktu pengeringan 30 menit dengan rata-rata kadar air biji kopi akhir sebesar 21,26%. Kata Kunci: Biji kopi, rotary dryer, kadar air, kecepatan putaran drum, waktu pengeringan.",PRODI_S1_TEKNIK_MESINFAKULTAS_FT
12604,SKRIPSI PENINGKATAN KARAKTERISTIK BAJA KARBON ST42 DENGAN HARD CHROME,BAYU DWI ADIPUTRA,"ABSTRAK Baja ST42 merupakan kategori jenis baja karbon rendah dengan memiliki karbon sebesar 0,216%. Baja karbon rendah memiliki sifat mudah dalam pembentukannya, karena keunggulan baja karbon sering dilakukannya peningkatan sifat mekanisnya untuk memenuhi kebutuhan. Baja ST42 sering digunakan sebagai bahan dasar untuk komponen kendaraan, kontruksi bangunan, atau poros baling baling baling kapal. Tujuan penelitian yaitu meneliti kekrasan dan struktur mikro setelah di hard chrome. Metode penelitian yaitu baja karbon rendah ST42 di-hard chroming dengan variasi arus 4 ampere, 5 ampere, dan 6 ampere selama 60 menit dengan tegangan 12 volt. Elektrolit yang digunakan berupa cairan hard chrome CrO3. Hasil penelitian menghasilkan nilai rata-rata kekerasan permukaan tertinggi baja ST42 setelah proses hard chrome dengan variasi kuat arus 6 ampere yaitu sebesar 309,47 VHN. Nilai rata-rata kekerasan permukaan terendah baja ST42 yaitu logam induk (tanpa hard chrome) sebesar 205,20 VHN. Pengujian ketebalan lapisan dengan pembesaran 200X penampang melintang spesimen baja ST42 setelah proses hard chrome dengan variasi 4A, 5A, dan 6A selama 60 menit menunjukkan bahwa ketebalan lapisan hard chrome nilai rata-rata terbesar yaitu pada variasi kuat arus 6A, nilai ketebalan lapisannya 371,14 μm dengan persentase ketebalan lapisannya 55,90%. Ketebalan lapisan pada baja karbon ST42 yang paling terendah yaitu spesimen dengan kuat arus 4A memiliki hasil 57,72 μm dan persentase ketebalan lapisannya 8,69%. Kata kunci: Baja karbon ST42, Hard Chrome, Kekerasan, Ketebalan Lapisan",PRODI_S1_TEKNIK_MESINFAKULTAS_FT
12605,TUGAS AKHIR MEKANISME PENGELOLAAN DAN PENCAIRAN KREDIT DI PT BPR BAPAS 69 MAGELANG,RAFI ALDI WICAKSONO,Tidak Tersedia Deskripsi,PRODI_D3_AKUNTANSIFAKULTAS_FE
12606,"SKRIPSI DISPARITAS PUTUSAN MENGENAI PERSAMAAN PADA POKOKNYA PADA MEREK “ACC”
(Studi Putusan Mahkamah Agung Nomor 1/PK/Pdt.Sus-HKI/2021)",INDRA SULISTIYANI,"ABSTRAK Merek sebagai salah satu bentuk Hak Kekayaan Intelektual dan memiliki peranan yang sangat penting dalam dunia perdagangan. Saat ini banyak pemilik merek yang melakukan pelanggaran, salah satunya yaitu peniruan merek seperti adanya persamaan pada pokoknya maupun keseluruhannnya. Adanya peniruan merek menimbulkan sengketa pembatalan merek yang diajukan ke Pengadilan. Pokok permasalahan penelitian ini adalah bagaimana dasar pertimbangan Majelis Hakim dalam memberikan putusan pada pengadilan tingkat pertama dan kasasi yang menolak gugatan, dasar pertimbangan Majelis hakim Agung yang mengabulkan gugatan serta persamaan pada pokoknya ditinjau dari peraturan perundang-undangan yang berlaku. Penelitian ini bertujuan untuk mengetahui dasar pertimbangan Majelis Hakim dalam memberikan putusan pada pengadilan tingkat pertama dan kasasi yang menolak gugatan, dasar pertimbangan Majelis hakim Agung yang mengabulkan gugatan serta persamaan pada pokoknya ditinjau dari peraturan perundang-undangan yang berlaku. Serta bertujuan untuk menjadi referensi penelitian terkait merek yang terdapat persamaan pada pokoknya. Jenis penelitian ini adalah yuridis normatif dengan pendekatan peraturan perundang-undangan dan pendekatan kasus yakni Undang-Undang Nomor 20 Tahun 2016 tentang Merek dan Indikasi Geografis dan Putusan Nomor 1/PK/Pdt.Sus-HKI/2021. Hasil penelitian menunjukan bahwa pengaturan tentang persamaan pada pokoknya pada suatu merek masih belum jelas dan menimbulkan isu ketidakpastian ketika dihadapkan dengan kasus merek “ACC memberi kemudahan” dan “KlikACC” sehingga menimbulkan pertimbangan Majelis Hakim yang berbeda antara Pengadilan Niaga, Kasasi dan Peninjauan Kembali. Berdasarkan hasil penelitian disimpulkan bahwa Majelis Hakim dapat menggunakan dasar hukum yang lain sebagai pertimbangan dalam memutus perkara persamaan pada pokoknya untuk menentukan tolak ukur persamaan pada pokoknya agar lebih jelas. Kata kunci: Disparitas, Merek, Persamaan pada pokoknya",PRODI_S1_HUKUMFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
12607,"SKRIPSI PENGARUH EARNING PER SHARE, LIKUIDITAS, DAN ROE TERHADAP HARGA SAHAM, STRUKTUR MODAL SEBAGAI VARIABEL INTERVENING
(STUDI KASUS PADA PERUSAHAAN MANUFAKTUR SEKTOR INDUSTRI BARANG KONSUMSI YANG TERDAFTAR DI BEI TAHUN 2017-2021)",ANNURLIA HANIFAH,Tidak Tersedia Deskripsi,PRODI_S1_AKUNTANSIFAKULTAS_FE
12608,SKRIPSI RESPONSIBILITAS PEMERINTAH DALAM MEWUJUDKAN PELAYANAN KEPENDUDUKAN YANG PRIMA BAGI MASYARAKAT DI KELURAHAN REJOWINANGUN UTARA KECAMATAN MAGELANG TENGAH KOTA MAGELANG,RAIHAN ZAKY,Tidak Tersedia Deskripsi,FAKULTAS_ILMU_SOSIAL_DAN_POLITIKPRODI_S1_ILMU_ADMINISTRASI_NEGARA
12609,SKRIPSI ANALISIS MISKONSEPSI BUKU AJAR BIOLOGI SMA KELAS XII MATERI GENETIKA DI KOTA MAGELANG,METASARI TIARA ARMADANI,"ABSTRAK Metasari, Tiara Armadani. 2022. “Analisis Miskonsepsi Buku Ajar Biologi SMA Kelas XII Materi Genetika di Kota Magelang”. Skripsi. Program Studi Pendidikan Biologi Fakultas Keguruan dan Ilmu Pendidikan Universitas Tidar. Pembimbing I Ika Sukmawati, M.Pd., Pembimbing II Sekar Jati Pamungkas, M.Pd. Kata Kunci: Miskonsepsi, Buku Ajar Biologi, Materi Genetika Pentingnya kualitas buku ajar biologi yang digunakan guru dan siswa, karena mengandung konsep-konsep yang harus disampaikan sesuai dengan pendapat pakar biologi termasuk pada materi genetika agar tidak terjadi miskonsepsi. Penelitian ini bertujuan untuk menganalisis, mengelompokkan, dan meninjau seberapa banyak (%) kategori miskonsepsi dan miskonsepsi setiap sub materi pada materi genetika dari buku ajar biologi SMA kelas XII yang digunakan di Kota Magelang. Metode penelitian yang digunakan adalah penelitian deskriptif dengan pendekatan kualitatif. Instrumen yang digunakan adalah lembar analisis dokumen dengan check-list. Sampel yang digunakan adalah empat buku ajar biologi SMA kelas XII yang di peroleh berdasarkan hasil survei pada sekolah negeri dan swata di Kota Magelang. Hasil analisis dihitung koefisien kesepakatan antara pengamat I dan pengamat II. Hasil penelitian menunjukkan persentase masing-masing kategori miskonsepsi dan persentase miskonsepsi setiap sub materi genetika pada konsep teks, konsep gambar dan total konsep buku ajar Biologi SMA kelas XII adalah Misidentification 2,5%, 2,2%, 3,7%, dan 3,3%, Oversimplifications 1,2%, 1,2%, 3,7%, dan 0,9%, dan Obsolete concepts and terms 0,4% dan 0,9%, total miskonsepsi setiap sub materi genetika adalah Arti dan ruang lingkup genetika 10%, 9,09%, dan 8,33%, Substansi Materi Genetik 40%, 36,3%, 25%, dan 17,6%, Pola hereditas manusia 10%, 9,09%, 16,6%, dan 35,2%, Reproduksi materi genetik 30%, 27,2%, 33,3%, dan 23,5%, Hereditas pada manusia 10%, 18,8%, 16,6%, dan 17,6%, Mutasi 5,88%. Total miskonsepsi materi genetika pada buku ajar biologi SMA kelas XII lebih rendah daripada total kebenaran, dengan nilai persentase miskonsepsi berturut-turut yaitu 4,1%, 3,4%, 7,4%, dan 5,1%, nilai persentase kebenaran yaitu 95,9%, 96,6%, 92,6%, dan 94,9%. Saran untuk kedepannya, guru dapat lebih teliti dalam mengidentifikasi sumber belajar yang akan digunakan untuk mengajar kepada siswa karena hal tersebut berpengaruh terhadap proses pemahaman siswa terhadap konsep yang bersumber dari buku pelajaran yang digunakan.",PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
