No,Kalimat,Judul,Penulis,Fakultas
1,ABSTRAK Perancangan alat yang akan dibuat memudahkan dalam pekerjaan bengkel yaitu jugil ban.,TUGAS AKHIR RANCANG BANGUN ALAT PRES BAN MOTOR SEDERHANA DENGAN MEKANISME HIDROLIK,ARDIAN FATAH NURROZIQIN,PRODI_D3_TEKNIK_MESINFAKULTAS_FT
2,"Dari segi kualitas jika menggunakan alat yang dirancang, yaitu pres ban sederhana ini akan memudahkan penggunanya dan meminimalisir tenaga yang terkuras untuk jugil ban tersebut.",TUGAS AKHIR RANCANG BANGUN ALAT PRES BAN MOTOR SEDERHANA DENGAN MEKANISME HIDROLIK,ARDIAN FATAH NURROZIQIN,PRODI_D3_TEKNIK_MESINFAKULTAS_FT
3,Maka dari itu pada laporan ini akan merancang dan membuat alat pres ban motor sederhana dengan mekanisme hidrolik.,TUGAS AKHIR RANCANG BANGUN ALAT PRES BAN MOTOR SEDERHANA DENGAN MEKANISME HIDROLIK,ARDIAN FATAH NURROZIQIN,PRODI_D3_TEKNIK_MESINFAKULTAS_FT
4,Pres ban memiliki fungsi untuk mengerucutkan dan mengendurkan dahulu ban motor sebelum di cungkil/cukit di buka agar lebih mudah lepas dari pelek.,TUGAS AKHIR RANCANG BANGUN ALAT PRES BAN MOTOR SEDERHANA DENGAN MEKANISME HIDROLIK,ARDIAN FATAH NURROZIQIN,PRODI_D3_TEKNIK_MESINFAKULTAS_FT
5,"Hasil dari rancang bangun alat pres ban dengan mekanisme hidrolik ini, perlu memperhatikan nilai faktor kekuatan dan keamanan, agar menghasilkan alat pres ban yang sesuai dan tetap memperhatikan material apa saja yang akan digunakan pada rancang bangun alat ini, sehingga mendapatkan hasil yang sesuai.",TUGAS AKHIR RANCANG BANGUN ALAT PRES BAN MOTOR SEDERHANA DENGAN MEKANISME HIDROLIK,ARDIAN FATAH NURROZIQIN,PRODI_D3_TEKNIK_MESINFAKULTAS_FT
6,"Hasil pembuatan alat pres ban ini yaitu dengan panjang alat 500 mm, lebar alat 150 mm, dan tinggi alat 150 mm, kinerja alat yang telah diuji menggunakan ban motor menghasilkan kecepatan ±1 menit dalam penggunaan ban motor dan dapat dikatakan aman dengan material besi hollow serta dari harga yang ergonomis.",TUGAS AKHIR RANCANG BANGUN ALAT PRES BAN MOTOR SEDERHANA DENGAN MEKANISME HIDROLIK,ARDIAN FATAH NURROZIQIN,PRODI_D3_TEKNIK_MESINFAKULTAS_FT
7,"Kata kunci: alat pres ban motor, dongkrak botol, solidworks",TUGAS AKHIR RANCANG BANGUN ALAT PRES BAN MOTOR SEDERHANA DENGAN MEKANISME HIDROLIK,ARDIAN FATAH NURROZIQIN,PRODI_D3_TEKNIK_MESINFAKULTAS_FT
1,"INTISARI Komposisi Media Tanam dan Pemberian Konsentrasi Monosodium glutamate (MSG) terhadap Pertumbuhan Bibit Vanili (Vanilla planifolia) Stek Satu Ruas Etika Cahya Kumaeroh [email protected] Permasalahan yang dihadapi pada perbanyakan vanili dengan cara stek yaitu lamanya pertumbuhan akar dan tunas, sehingga dapat ditunjang dengan menggunakan media tanam yang sesuai.",SKRIPSI KOMPOSISI MEDIA TANAM DAN PEMBERIAN KONSENTRASI Monosodium Glutamate (MSG) TERHADAP PERTUMBUHAN BIBIT VANILI (Vanilla planifolia) STEK SATU RUAS,ETIKA CAHYA KUMAEROH,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
2,Untuk mendukung pertumbuhan stek dapat diberikan nutrisi salah satunya MSG.,SKRIPSI KOMPOSISI MEDIA TANAM DAN PEMBERIAN KONSENTRASI Monosodium Glutamate (MSG) TERHADAP PERTUMBUHAN BIBIT VANILI (Vanilla planifolia) STEK SATU RUAS,ETIKA CAHYA KUMAEROH,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
3,Penelitian bertujuan untuk mengetahui penggunaan komposisi media tanam dan pemberian konsentrasi MSG terhadap pertumbuhan vanili (Vanilla planifolia) stek satu ruas.,SKRIPSI KOMPOSISI MEDIA TANAM DAN PEMBERIAN KONSENTRASI Monosodium Glutamate (MSG) TERHADAP PERTUMBUHAN BIBIT VANILI (Vanilla planifolia) STEK SATU RUAS,ETIKA CAHYA KUMAEROH,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
4,"Penelitian dilaksanakan pada bulan Januari sampai Mei 2022 di Kebun Vanili The Santan, Karang Tengah, Sumberrejo, Mertoyudan, Kabupaten Magelang.",SKRIPSI KOMPOSISI MEDIA TANAM DAN PEMBERIAN KONSENTRASI Monosodium Glutamate (MSG) TERHADAP PERTUMBUHAN BIBIT VANILI (Vanilla planifolia) STEK SATU RUAS,ETIKA CAHYA KUMAEROH,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
5,Percobaan menggunakan rancangan acak kelompok lengkap dengan dua faktor perlakuan dan empat ulangan.,SKRIPSI KOMPOSISI MEDIA TANAM DAN PEMBERIAN KONSENTRASI Monosodium Glutamate (MSG) TERHADAP PERTUMBUHAN BIBIT VANILI (Vanilla planifolia) STEK SATU RUAS,ETIKA CAHYA KUMAEROH,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
6,Faktor perlakuan pertama adalah komposisi media tanam: arang sekam: bokashi: tanah dan cocopeat: bokashi: tanah.,SKRIPSI KOMPOSISI MEDIA TANAM DAN PEMBERIAN KONSENTRASI Monosodium Glutamate (MSG) TERHADAP PERTUMBUHAN BIBIT VANILI (Vanilla planifolia) STEK SATU RUAS,ETIKA CAHYA KUMAEROH,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
7,"Faktor perlakuan kedua adalah konsentrasi MSG 0, 3000, 6000, 9000 ppm.",SKRIPSI KOMPOSISI MEDIA TANAM DAN PEMBERIAN KONSENTRASI Monosodium Glutamate (MSG) TERHADAP PERTUMBUHAN BIBIT VANILI (Vanilla planifolia) STEK SATU RUAS,ETIKA CAHYA KUMAEROH,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
8,"Hasil penelitian menunjukkan komposisi media tanam, konsentrasi MSG, dan interaksi kedua perlakuan tidak memberikan pengaruh nyata terhadap parameter pengamatan persentase stek hidup, saat munculnya tunas, panjang tunas, jumlah daun, panjang akar terpanjang, dan jumlah akar.",SKRIPSI KOMPOSISI MEDIA TANAM DAN PEMBERIAN KONSENTRASI Monosodium Glutamate (MSG) TERHADAP PERTUMBUHAN BIBIT VANILI (Vanilla planifolia) STEK SATU RUAS,ETIKA CAHYA KUMAEROH,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
9,"Kata kunci: media tanam, monosodium glutamat (MSG), pertumbuhan, stek vanili",SKRIPSI KOMPOSISI MEDIA TANAM DAN PEMBERIAN KONSENTRASI Monosodium Glutamate (MSG) TERHADAP PERTUMBUHAN BIBIT VANILI (Vanilla planifolia) STEK SATU RUAS,ETIKA CAHYA KUMAEROH,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
1,"INTISARI Aklimatisasi Anggrek Dendrobium tiara beauty >< imelda marina Dengan Perlakuan Konsentrasi Pupuk Nano Nutrien dan AB Mix Iksan Yuda Irawan email: [email protected] Penelitian tentang Aklimatisasi Anggrek Dendrobium tiara beauty >< imelda marina terhadap konsentrasi pupuk Nano Nutrien dan AB Mix dilaksanakan pada Bulan Juni sampai July 2022 di Kebun Anggrek Nambangan, Desa Sidomulyo, Kecamatan Candimulyo, Kabupaten Magelang, Jawa Tengah.",SKRIPSI AKLIMATISASI ANGGREK Dendrobium tiara beauty >< imelda marina DENGAN KONSENTRASI PUPUK NANO NUTRIEN DAN AB MIX,IKSAN YUDA IRAWAN,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
2,Metode penelitian menggunakan percobaan faktorial (5x2) disusun dalam Rancangan Acak Kelompok Lengkap (RAKL) dengan 4 blok.,SKRIPSI AKLIMATISASI ANGGREK Dendrobium tiara beauty >< imelda marina DENGAN KONSENTRASI PUPUK NANO NUTRIEN DAN AB MIX,IKSAN YUDA IRAWAN,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
