"1","!","906"
"2","\"","2724"
"4","$","60"
"5","%","142"
"6","&","277"
"7","'","836"
"8","(","8171"
"9",")","8312"
"10","*","67"
"11","+","63"
"12",",","77815"
"13","-","624"
"14",".","95060"
"15","/","147"
"16",":","4600"
"17",";","689"
"18","<","26"
"20",">","40"
"21","?","4373"
"28","€","14"
"32","~","19"
"33","`","45"
"34","´","1"
"35","§","4"
"39","«","16"
"43","°","1"
"44","±","12"
"45","»","33"
"47","×","3"
"52","£","1"
"53","¥","1"
"55","‹","3"
"56","›","2"
"57","“","3208"
"58","”","1959"
"59","„","2"
"61","‘","17"
"62","’","123"
"82","•","213"
"85","–","398"
"86","—","9"
"87","−","1"
"89","▪","1"
"90","·","41"
"93","♦","2"
"101","yang","53615"
"102","dan","32326"
"103","itu","20380"
"104","di","19987"
"105","dengan","17138"
"106","tidak","15294"
"107","dari","13039"
"108","untuk","12923"
"109","ini","12830"
"110","dalam","10833"
"111","akan","9276"
"112","mereka","8179"
"113","pada","8165"
"114","adalah","7518"
"115","orang","6967"
"116","dapat","6940"
"117","telah","6529"
"118","bahwa","6167"
"119","ada","6022"
"120","ke","5947"
"121","menjadi","5773"
"122","ia","5717"
"123","maka","5710"
"124","oleh","5609"
"125","karena","5281"
"126","atau","5271"
"127","juga","5234"
"128","kita","5021"
"129","sudah","4795"
"130","Ki","4397"
"131","lebih","4359"
"132","bisa","4194"
"133","saya","4012"
"134","sebagai","3789"
"135","harus","3774"
"136","saja","3735"
"137","masih","3690"
"138","tersebut","3455"
"139","para","3327"
"140","Namun","3244"
"141","pun","3233"
"142","lain","3181"
"143","aku","3146"
"144","sangat","3123"
"145","seperti","3028"
"146","kemudian","2988"
"147","kepada","2909"
"148","banyak","2886"
"149","hanya","2807"
"150","lagi","2774"
"151","satu","2679"
"152","seorang","2647"
"153","saat","2637"
"154","beberapa","2590"
"155","Tetapi","2555"
"156","secara","2467"
"157","baik","2322"
"158","tahun","2278"
"159","sehingga","2260"
"160","terjadi","2213"
"161","memiliki","2211"
"162","Agung","2197"
"163","Karena","2186"
"164","anak","2168"
"165","atas","2166"
"166","memang","2147"
"167","terhadap","2054"
"168","sendiri","2052"
"169","bagi","2046"
"170","hal","2040"
"171","Indonesia","1993"
"172","Sedayu","1966"
"173","kami","1954"
"174","sampai","1950"
"175","semakin","1944"
"176","merupakan","1936"
"177","tentang","1933"
"178","Ia","1898"
"179","diri","1890"
"180","besar","1871"
"181","antara","1849"
"182","tak","1849"
"183","dilakukan","1847"
"184","melihat","1819"
"185","apa","1808"
"186","sama","1805"
"187","demikian","1781"
"188","Dengan","1772"
"189","Allah","1744"
"190","dia","1725"
"191","belum","1720"
"192","sebuah","1708"
"193","suatu","1682"
"194","pula","1659"
"195","orang-orang","1658"
"196","ketika","1643"
"197","mulai","1643"
"198","hari","1636"
"199","bukan","1625"
"200","Dalam","1595"
"201","tetapi","1587"
"202","jika","1585"
"203","semua","1566"
"204","ilmu","1533"
"205","yaitu","1532"
"206","anda","1525"
"207","baru","1524"
"208","masyarakat","1524"
"209","waktu","1524"
"210","segera","1520"
"211","pernah","1515"
"212","kedua","1511"
"213","serta","1502"
"214","melakukan","1496"
"215","sekali","1486"
"216","dua","1466"
"217","kembali","1465"
"218","rumah","1458"
"219","Anda","1455"
"220","Dan","1453"
"221","Mereka","1424"
"222","membuat","1422"
"223","Islam","1411"
"224","Bahkan","1403"
"225","agar","1396"
"226","Glagah","1382"
"227","setiap","1381"
"228","berada","1380"
"229","ingin","1378"
"230","Jika","1369"
"231","Di","1368"
"232","manusia","1333"
"233","salah","1320"
"234","tinggi","1312"
"235","sedang","1298"
"236","Putih","1292"
"237","tempat","1286"
"238","setelah","1249"
"239","penelitian","1240"
"240","mau","1239"
"241","memberikan","1236"
"242","kalian","1223"
"243","tetap","1190"
"244","Pada","1187"
"245","namun","1180"
"246","cukup","1176"
"247","ternyata","1174"
"248","at","1143"
"249","tanpa","1140"
"250","dunia","1138"
"251","selalu","1138"
"252","mampu","1136"
"253","merasa","1125"
"254","langsung","1121"
"255","mungkin","1121"
"256","berbagai","1113"
"257","kali","1104"
"258","tapi","1100"
"259","Mataram","1097"
"260","Kiai","1091"
"261","jalan","1091"
"262","muda","1091"
"263","menggunakan","1079"
"264","hidup","1070"
"265","kau","1065"
"266","datang","1061"
"267","kalau","1053"
"268","paling","1052"
"269","maupun","1047"
"270","cara","1039"
"271","bahkan","1028"
"272","lalu","1028"
"273","bagian","1007"
"274","prajurit","1006"
"275","mempunyai","1003"
"276","kelompok","1001"
"277","lainnya","1000"
"278","tahu","998"
"279","kata","993"
"280","justru","992"
"281","said","989"
"282","kecil","983"
"283","lama","959"
"284","air","950"
"285","dirinya","948"
"286","selama","943"
"287","On","937"
"288","Saya","935"
"289","Ketika","932"
"290","Untuk","931"
"291","perlu","921"
"292","2009","909"
"293","sekarang","908"
"294","negara","901"
"295","Yang","900"
"296","kemampuan","894"
"297","pendidikan","892"
"298","bersama","891"
"299","hasil","880"
"300","pasukan","876"
"301","Sementara","875"
"302","daerah","874"
"303","masalah","873"
"304","berusaha","870"
"305","melalui","867"
"306","pertama","866"
"307","masuk","864"
"308","proses","864"
"309","tentu","844"
"310","Tapi","841"
"311","masa","832"
"312","Aku","820"
"313","cepat","815"
"314","adanya","814"
"315","digunakan","810"
"316","sistem","809"
"317","begitu","799"
"318","keadaan","795"
"319","jadi","794"
"320","tubuh","794"
"321","Setelah","790"
"322","kerja","786"
"323","Meskipun","783"
"324","luar","780"
"325","berdiri","779"
"326","sambil","776"
"327","Hal","773"
"328","perusahaan","771"
"329","jauh","768"
"330","hati","763"
"331","Tidak","756"
"332","seluruh","756"
"333","sering","755"
"334","hukum","753"
"335","1","751"
"336","hingga","751"
"337","berarti","742"
"338","berhasil","741"
"339","berbeda","735"
"340","akhirnya","734"
"341","malam","734"
"342","2","732"
"343","mendapat","730"
"344","sesuai","728"
"345","terus","721"
"346","Ternyata","720"
"347","kekuatan","719"
"348","meskipun","719"
"349","sedikit","710"
"350","belajar","708"
"351","penting","707"
"352","anak-anak","701"
"353","sempat","701"
"354","terasa","700"
"355","benar-benar","699"
"356","agama","691"
"357","sebelum","691"
"358","sebagian","690"
"359","termasuk","688"
"360","terlalu","687"
"361","menunjukkan","686"
"362","sesuatu","683"
"363","mengalami","682"
"364","mengatakan","680"
"365","sekitar","680"
"366","terdapat","680"
"367","Kalau","676"
"368","segala","676"
"369","mengetahui","675"
"370","pasti","672"
"371","sekolah","672"
"372","Swandaru","671"
"373","seseorang","671"
"374","tua","671"
"375","bahasa","670"
"376","informasi","669"
"377","tangan","668"
"378","punya","666"
"379","Kita","659"
"380","Sekar","657"
"381","apakah","655"
"382","bentuk","655"
"383","tiga","654"
"384","disebut","651"
"385","Dari","650"
"386","nama","649"
"387","bagaimana","648"
"388","kurang","648"
"389","yg","648"
"390","lawannya","640"
"391","benar","632"
"392","menurut","630"
"393","ikut","626"
"394","Selain","624"
"395","bulan","623"
"396","kota","623"
"397","mata","619"
"398","mencoba","619"
"399","Mirah","618"
"400","Raden","618"
"401","pemerintah","613"
"402","keluar","611"
"403","kehidupan","608"
"404","depan","607"
"405","Beberapa","606"
"406","sebenarnya","605"
"407","keluarga","604"
"408","email","600"
"409","jumlah","600"
"410","Rara","598"
"411","uang","598"
"412","Dia","597"
"413","jelas","595"
"414","perempuan","593"
"415","tanah","593"
"416","Gringsing","590"
"417","3","588"
"418","Ini","588"
"419","mendapatkan","588"
"420","pergi","588"
"421","berjalan","587"
"422","pihak","585"
"423","sejak","583"
"424","usaha","579"
"425","makan","576"
"426","khusus","575"
"427","sikap","574"
"428","lingkungan","573"
"429","sosial","573"
"430","mencari","572"
"431","data","571"
"432","hubungan","569"
"433","bila","564"
"434","Sedangkan","563"
"435","Kami","562"
"436","itupun","562"
"437","guru","561"
"438","jenis","561"
"439","suara","561"
"440","saling","560"
"441","hampir","558"
"442","Jadi","557"
"443","tertentu","557"
"444","meninggalkan","556"
"445","pemimpin","556"
"446","kamu","555"
"447","ekonomi","551"
"448","Wulan","550"
"449","mengenai","550"
"450","kondisi","549"
"451","mengambil","546"
"452","Tinggalkan","545"
"453","sakit","545"
"454","kegiatan","544"
"455","mudah","544"
"456","wanita","543"
"457","Gede","536"
"458","keduanya","536"
"459","tingkat","533"
"460","dipublikasikan","532"
"461","mencapai","530"
"462","tinggal","530"
"463","mana","529"
"464","nilai","528"
"465","politik","528"
"466","bawah","526"
"467","buku","526"
"468","Pajang","524"
"469","masing-masing","524"
"470","menarik","523"
"471","menghadapi","522"
"472","Alamat","515"
"473","duduk","515"
"474","Balasan","514"
"475","tiba-tiba","514"
"476","Para","513"
"477","reply","513"
"478","Cancel","512"
"479","siswa","511"
"480","Ada","509"
"481","bekerja","508"
"482","itulah","508"
"483","makanan","508"
"484","rasa","508"
"485","bahan","502"
"486","mendengar","502"
"487","pengawal","501"
"488","sulit","501"
"489","kesempatan","500"
"490","dasar","496"
"491","Kemudian","495"
"492","ujung","495"
"493","ya","493"
"494","membawa","492"
"495","umum","490"
"496","halaman","486"
"497","Apalagi","485"
"498","meningkatkan","485"
"499","memberi","483"
"500","Menurut","482"
"501","lakukan","482"
"502","dulu","481"
"503","sebelumnya","481"
"504","utama","480"
"505","berbicara","479"
"506","Jakarta","477"
"507","biasa","476"
"508","dekat","476"
"509","metode","476"
"510","kuat","473"
"511","minta","473"
"512","kini","470"
"513","melawan","470"
"514","menuju","470"
"515","si","470"
"516","pintu","469"
"517","kaum","466"
"518","muncul","466"
"519","panjang","465"
"520","padepokan","463"
"521","tujuan","463"
"522","pengetahuan","462"
"523","bangsa","460"
"524","kebutuhan","458"
"525","lewat","458"
"526","biasanya","456"
"527","menemukan","456"
"528","ibu","455"
"529","Nabi","454"
"530","2.","453"
"531","sumber","453"
"532","1.","452"
"533","perubahan","451"
"534","Demikian","450"
"535","arah","449"
"536","darah","449"
"537","Untara","448"
"538","kepala","447"
"539","membantu","445"
"540","Lurah","442"
"541","dimana","441"
"542","sebagaimana","441"
"543","sisi","441"
"544","Jawa","440"
"545","harga","440"
"546","mengikuti","440"
"547","pertempuran","440"
"548","terutama","440"
"549","boleh","438"
"550","mengerti","438"
"551","sementara","437"
"552","kesehatan","435"
"553","keras","430"
"554","media","429"
"555","penyakit","429"
"556","diantara","428"
"557","Saat","427"
"558","jangan","427"
"559","organisasi","427"
"560","program","427"
"561","menerima","426"
"562","Apakah","424"
"563","jam","424"
"564","luas","424"
"565","Oleh","421"
"566","Orang","419"
"567","kitab","419"
"568","produk","418"
"569","Tuhan","415"
"570","belakang","415"
"571","2008","413"
"572","awal","411"
"573","berat","411"
"574","pasar","411"
"575","turun","410"
"576","tidur","407"
"577","5","405"
"578","anggota","405"
"579","memandang","405"
"580","perkembangan","405"
"581","bergerak","404"
"582","terakhir","404"
"583","sekedar","403"
"584","terlihat","403"
"585","agak","402"
"586","bidang","402"
"587","sedangkan","402"
"588","kasus","401"
"589","apabila","400"
"590","siapa","400"
"591","Mungkin","399"
"592","langkah","394"
"593","tugas","394"
"594","menunggu","393"
"595","penuh","392"
